code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
000796,易食股份,食品,陕西,122.98,24652.3,24654.19,127304.02,86571.46,18757.46,33455.75,1.36,0.033,2.24,7.27,19970703
000797,中国武夷,全国地产,福建,78.75,33436.1,38945.23,860858.81,790915.69,17842.48,7310,0.19,0.067,2.83,7.45,19970715
000798,中水渔业,渔业,北京,173.22,31944.91,31945.5,117022.67,67354.56,28637.49,33222.06,1.04,0.014,2.65,3.58,19980212
000799,*ST酒鬼,白酒,湖南,88.65,22420.16,32492.9,213835.16,128794.06,42785.64,116125.95,3.57,0.059,5.19,4,19970718
000800,一汽轿车,汽车整车,吉林,47.7,141175.41,162750,1848189.25,914165.38,575607.88,248890.02,1.53,0.085,5.46,2.96,19970618
000801,四川九洲,通信设备,四川,192.75,45988.44,51140.32,422999.31,348556.63,21912.28,52605.56,1.03,0.021,3.31,4.93,19980506
000802,北京文化,旅游服务,北京,0,37483.46,38860.03,148400.5,84508.5,24046.45,54833.66,1.41,-0.005,2.38,9.38,19980108
000803,金宇车城,纺织,四川,0,9769.28,12773.08,44131.37,38066.6,413.15,2009.93,0.16,-0.012,1.17,14.44,19980303
000806,银河投资,电气设备,广西,241.33,69844.82,109991.17,315088.72,235548.05,37916.42,104462.56,0.95,0.04,1.81,14.87,19980416
000807,云铝股份,铝,云南,0,153908.31,189861.17,2435601,606522.25,1311586.75,185171.75,0.98,-0.041,2.18,2.35,19980408
000809,铁岭新城,区域地产,辽宁,0,54986.08,54986.08,613465.19,573427.5,30247.34,3199.37,0.06,-0.013,6.31,1.18,19980616
000810,创维数字,元器件,四川,74.05,25933.14,99850.32,393176.25,370516.75,3693.96,24.08,0,0.069,2.06,9.98,19980602
000811,烟台冰轮,工程机械,山东,29.14,39458.92,39459.73,289201.5,121308.56,29566.14,5728.76,0.15,0.095,4.16,2.65,19980528
000812,陕西金叶,广告包装,陕西,300.87,44625.01,44737.57,179060.02,98234.1,51752.89,1530.93,0.03,0.016,1.94,9.81,19980623
000813,天山纺织,纺织,新疆,255.33,36345.07,46749.53,198797.72,40245.71,52967.61,107593.72,2.3,0.011,2.27,4.95,19980519
000815,*ST美利,造纸,宁夏,0,31677.99,31680,149759.02,72706.5,55013.16,35512.9,1.12,-0.2,-0.73,-25.96,19980609
000816,智慧农业,机械基件,江苏,139.14,108877.75,141880.31,734833.31,374645.53,114136.02,123808.95,0.87,0.013,2.34,3.09,19970818
000818,方大化工,化工原料,辽宁,127.19,68000,68000,260338.91,48533.12,143626.69,124592.92,1.83,0.028,2.94,4.82,19971017
000819,岳阳兴长,石油加工,湖南,122.42,24609.36,24611.16,78663.75,46511.19,20673.28,8271.12,0.34,0.048,2.64,8.98,19970625
